timestamp,target,target_scaled,hour,dayofweek,is_weekend,lag_31,lag_32,lag_34,lag_35,is_peak_hour
1995-08-23 00:00:00-04:00,443,-0.3216597422008489,0,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 00:15:00-04:00,413,-0.39375930363910244,0,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 00:30:00-04:00,313,-0.6340911750999475,0,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 00:45:00-04:00,334,-0.58362148209317,0,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 01:00:00-04:00,190,-0.9296993769967868,1,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 01:15:00-04:00,328,-0.5980413943808207,1,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 01:30:00-04:00,286,-0.6989807803943756,1,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 01:45:00-04:00,289,-0.6917708242505503,1,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 02:00:00-04:00,278,-0.7182073301112433,2,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 02:15:00-04:00,356,-0.5307484703717841,2,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 02:30:00-04:00,244,-0.7999201664079305,2,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 02:45:00-04:00,277,-0.7206106488258517,2,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 03:00:00-04:00,244,-0.7999201664079305,3,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 03:15:00-04:00,313,-0.6340911750999475,3,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 03:30:00-04:00,264,-0.7518537921157615,3,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 03:45:00-04:00,286,-0.6989807803943756,3,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 04:00:00-04:00,254,-0.775886979261846,4,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 04:15:00-04:00,189,-0.9321026957113953,4,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 04:30:00-04:00,251,-0.7830969354056714,4,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 04:45:00-04:00,208,-0.8864396401338347,4,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 05:00:00-04:00,215,-0.8696164091315756,5,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 05:15:00-04:00,240,-0.8095334412663643,5,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 05:30:00-04:00,281,-0.7109973739674179,5,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 05:45:00-04:00,193,-0.9224894208529615,5,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 06:00:00-04:00,323,-0.6100579879538629,6,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 06:15:00-04:00,370,-0.4971020083672658,6,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 06:30:00-04:00,320,-0.6172679440976883,6,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 06:45:00-04:00,337,-0.5764115259493446,6,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 07:00:00-04:00,318,-0.6220745815269052,7,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 07:15:00-04:00,433,-0.3456929293469334,7,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 07:30:00-04:00,486,-0.21831703747268555,7,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 07:45:00-04:00,493,-0.2014938064704264,7,2,0,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 08:00:00-04:00,592,0.03643474627581018,8,2,0,-0.39375930363910244,-0.3216597422008489,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 08:15:00-04:00,650,0.1758272317231003,8,2,0,-0.6340911750999475,-0.39375930363910244,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 08:30:00-04:00,719,0.3416562230310834,8,2,0,-0.58362148209317,-0.6340911750999475,-0.3216597422008489,-0.3216597422008489,0
1995-08-23 08:45:00-04:00,685,0.25994338673439604,8,2,0,-0.9296993769967868,-0.58362148209317,-0.39375930363910244,-0.3216597422008489,0
1995-08-23 09:00:00-04:00,672,0.2287002434444862,9,2,0,-0.5980413943808207,-0.9296993769967868,-0.6340911750999475,-0.39375930363910244,1
