timestamp,request_count,bytes
1995-07-01 00:00:00-04:00,810,16430564
1995-07-01 00:15:00-04:00,945,18046060
1995-07-01 00:30:00-04:00,1006,22420824
1995-07-01 00:45:00-04:00,804,24088038
1995-07-01 01:00:00-04:00,750,17178646
1995-07-01 01:15:00-04:00,679,18621759
1995-07-01 01:30:00-04:00,833,25377107
1995-07-01 01:45:00-04:00,742,20395343
1995-07-01 02:00:00-04:00,697,14072828
1995-07-01 02:15:00-04:00,538,16074744
1995-07-01 02:30:00-04:00,534,13827603
1995-07-01 02:45:00-04:00,499,13185446
1995-07-01 03:00:00-04:00,501,9363978
1995-07-01 03:15:00-04:00,420,10795153
1995-07-01 03:30:00-04:00,398,8999235
1995-07-01 03:45:00-04:00,415,8134852
1995-07-01 04:00:00-04:00,409,8214982
1995-07-01 04:15:00-04:00,317,6252166
1995-07-01 04:30:00-04:00,405,7979117
1995-07-01 04:45:00-04:00,351,6873505
1995-07-01 05:00:00-04:00,284,8306767
1995-07-01 05:15:00-04:00,331,5903240
1995-07-01 05:30:00-04:00,336,6025407
1995-07-01 05:45:00-04:00,392,12857746
1995-07-01 06:00:00-04:00,373,10408483
1995-07-01 06:15:00-04:00,396,10583814
1995-07-01 06:30:00-04:00,417,8852321
1995-07-01 06:45:00-04:00,342,7743586
1995-07-01 07:00:00-04:00,301,5552823
1995-07-01 07:15:00-04:00,325,10495757
1995-07-01 07:30:00-04:00,436,8519726
1995-07-01 07:45:00-04:00,495,11383813
1995-07-01 08:00:00-04:00,428,12260679
1995-07-01 08:15:00-04:00,602,11852205
1995-07-01 08:30:00-04:00,457,11820446
1995-07-01 08:45:00-04:00,440,17322959
1995-07-01 09:00:00-04:00,354,9257613
1995-07-01 09:15:00-04:00,556,16215008
1995-07-01 09:30:00-04:00,570,19095804
1995-07-01 09:45:00-04:00,616,16579906
1995-07-01 10:00:00-04:00,722,15311553
1995-07-01 10:15:00-04:00,656,11871283
1995-07-01 10:30:00-04:00,786,18753854
1995-07-01 10:45:00-04:00,882,19831536
1995-07-01 11:00:00-04:00,983,20469853
1995-07-01 11:15:00-04:00,938,20569658
1995-07-01 11:30:00-04:00,718,21133021
1995-07-01 11:45:00-04:00,789,24078725
1995-07-01 12:00:00-04:00,793,23695128
1995-07-01 12:15:00-04:00,974,23973701
1995-07-01 12:30:00-04:00,209,6114242
1995-07-01 12:45:00-04:00,793,14171915
1995-07-01 13:00:00-04:00,786,17945328
1995-07-01 13:15:00-04:00,829,19067956
1995-07-01 13:30:00-04:00,566,14604788
1995-07-01 13:45:00-04:00,905,20714285
1995-07-01 14:00:00-04:00,744,20773189
1995-07-01 14:15:00-04:00,705,14889603
1995-07-01 14:30:00-04:00,779,16806326
1995-07-01 14:45:00-04:00,905,20776713
1995-07-01 15:00:00-04:00,704,22186581
1995-07-01 15:15:00-04:00,795,23969924
1995-07-01 15:30:00-04:00,813,30730242
1995-07-01 15:45:00-04:00,960,25572201
1995-07-01 16:00:00-04:00,683,20583103
1995-07-01 16:15:00-04:00,686,14905103
1995-07-01 16:30:00-04:00,869,25638502
1995-07-01 16:45:00-04:00,953,22258847
1995-07-01 17:00:00-04:00,937,23929210
1995-07-01 17:15:00-04:00,974,17913808
1995-07-01 17:30:00-04:00,1030,25978310
1995-07-01 17:45:00-04:00,730,24575401
1995-07-01 18:00:00-04:00,876,18101500
1995-07-01 18:15:00-04:00,860,21867818
1995-07-01 18:30:00-04:00,865,21858392
1995-07-01 18:45:00-04:00,591,18553283
1995-07-01 19:00:00-04:00,655,12812697
1995-07-01 19:15:00-04:00,861,20604623
1995-07-01 19:30:00-04:00,634,19866509
1995-07-01 19:45:00-04:00,681,18988754
1995-07-01 20:00:00-04:00,690,13217940
1995-07-01 20:15:00-04:00,769,18891085
1995-07-01 20:30:00-04:00,704,23026319
1995-07-01 20:45:00-04:00,795,20667216
1995-07-01 21:00:00-04:00,919,19417604
1995-07-01 21:15:00-04:00,939,21224341
1995-07-01 21:30:00-04:00,840,28926621
1995-07-01 21:45:00-04:00,804,24910960
1995-07-01 22:00:00-04:00,879,20835237
1995-07-01 22:15:00-04:00,827,22092352
1995-07-01 22:30:00-04:00,758,16717578
1995-07-01 22:45:00-04:00,814,19931118
1995-07-01 23:00:00-04:00,684,16975201
1995-07-01 23:15:00-04:00,901,20537492
1995-07-01 23:30:00-04:00,785,15726402
1995-07-01 23:45:00-04:00,483,10713055
1995-07-02 00:00:00-04:00,618,13750637
1995-07-02 00:15:00-04:00,749,14766642
